target,action,reward
0,(0; 0.13),[0.01594101 3.9537742 ],-0.2582507107943908
0,(0; 0.13),[0.0356235 5.742185 ],-0.24798643834006898
0,(0; 0.13),[0.06463149 4.316404  ],-0.17327661009973927
0,(0.13; 0),[0.08191418 0.6417137 ],-0.37875650555980656
0,(0; -0.13),[0.15480228 0.47875425],-0.14653114867739125
0,(0.13; 0),[0.22      1.1151422],-0.8304327121182151
0,(0; -0.13),[0.22      5.2730303],-0.9546297119379062
0,(0; -0.13),[0.06308349 5.297213  ],-0.3347862559446143
0,(0; -0.13),[0.16326316 0.42287555],-0.1901051155192554
0,(0; 0.13),[0.17151447 2.8327942 ],-0.5642570301998406
0,(0; -0.13),[0.05019802 1.9496859 ],-0.208987580373565
0,(0; -0.13),[0.05183592 0.        ],-0.2641560692192704
0,(0; -0.13),[0.07529395 5.156192  ],-0.3716603126667646
0,(0.13; 0),[0.03130702 3.2438898 ],-0.2403852572478695
0,(0; 0.13),[0.12118795 4.50876   ],0.11964210724972299
0,(0; 0.13),[0.12511611 1.5358745 ],-0.5616638775315946
0,(0.13; 0),[0.1647561 3.4806073],0.4841485774194963
0,(0; -0.13),[0.05831369 5.317754  ],-0.3236746193888106
0,(0; -0.13),[0.06976616 1.3781601 ],-0.1499928520014862
0,(0; 0.13),[0.18448476 4.102941  ],0.2898768359616852
0,(0.13; 0),[0.10532017 3.255574  ],0.018964725985919514
0,(0; -0.13),[0.21280286 0.18032251],-0.5150242779693014
0,(0; 0.13),[0.10418976 4.226978  ],-0.03165304859059885
0,(0.13; 0),[0.16479251 5.9842668 ],-0.7253146770429878
0,(0; -0.13),[7.1397779e-04 8.0943555e-01],-0.2623560357003509
0,(0; -0.13),[0.01138187 4.6625795 ],-0.26524532426332526
0,(0; -0.13),[0.18908863 6.2831855 ],-0.5083930012210574
0,(0; -0.13),[0.2018772 5.8984838],-0.7221069928462021
0,(0.13; 0),[0.11071699 4.4543266 ],-0.228865866336109
0,(0; 0.13),[0.05151494 2.482078  ],-0.2989995318371897
0,(0; -0.13),[0.1824661 1.9797045],0.5712678289559027
